food_name,calories,protein,fat,carbs,fiber,sugar,meal_type,cat
Squash Summer Crookneck And Straightneck Canned Drained Solid Without Salt,13.0,0.6,0.1,3.0,1.4,1.2,lunch,vegan
Rice White With Vegetables And Gravy Ns As To Fat Added In Cooking,106.0,2.2,2.4,18.7,1.1,0.7,dinner,vegan
French Toast Gluten Free From Frozen,173.0,4.8,4.5,28.2,2.0,8.2,break-fast,vegan
Beans Snap Yellow Canned No Salt Added Solids And Liquids,15.0,0.8,0.1,3.5,1.5,0.6,lunch,vegan
Hersheys Golden Almond Solitaires,569.0,12.0,37.1,46.8,4.4,37.1,snacks,vegan
Babyfood Dinner Chicken Soup Strained,50.0,1.6,1.7,7.2,1.1,1.7,snacks,vegan
Ground Turmeric,312.0,9.7,3.2,67.1,22.7,3.2,common,vegan
Broccoli (Cooked),35.0,2.4,0.4,7.2,3.3,1.4,lunch,vegan
Soup Ramen Noodle Any Flavor Dry,440.0,10.2,17.6,60.3,2.9,2.0,lunch,vegan
Infant Formula Liquid Concentrate Made With Plain Bottled Water (Enfamil Infant),66.0,1.4,3.5,7.4,0.0,7.4,snacks,vegan
Bread Gluten-Free White Made With Tapioca Starch And Brown Rice Flour,298.0,5.4,8.0,51.2,5.5,11.3,break-fast,vegan
Potato Chowder,92.0,3.8,4.8,8.7,0.6,4.3,lunch,vegan
Beans Pinto Mature Seeds Canned Solids And Liquids Low Sodium,82.0,4.6,0.6,15.2,4.6,1.0,lunch,vegan
Margarine 80% Fat Tub Canola Harvest Soft Spread (Canola Palm And Palm Kernel Oils),730.0,0.4,80.3,1.4,0.0,0.0,common,vegan
Infant Formula Abbott Nutrition Similac With Iron Powder Not Reconstituted,522.0,10.9,28.9,54.7,0.0,54.7,snacks,vegan
Macaroni Or Pasta Salad With Tuna,201.0,6.8,9.9,20.9,1.2,1.6,dinner,vegan
Canned Pizza Sauce,54.0,2.2,1.2,8.7,2.0,3.8,lunch,vegan
Cereal (General Mills Cheerios Yogurt Burst),400.0,6.7,5.2,81.8,6.7,30.0,break-fast,vegan
Ice Creams Breyers All Natural Light French Chocolate,201.0,5.3,7.3,29.7,1.0,24.0,snacks,vegan
Fennel Bulb Cooked Made With Margarine,73.0,1.9,3.2,11.2,4.7,6.0,lunch,vegan
Custard Puerto Rican Style,170.0,5.0,5.3,25.9,0.0,23.6,snacks,vegan
Peas Green Cooked From Canned Ns As To Fat Added In Cooking,83.0,4.4,2.7,11.0,4.8,2.9,lunch,vegan
McDonalds Strawberry Sundae,158.0,3.2,4.0,28.1,0.0,25.3,lunch,vegan
Moose Liver Braised (Alaska Native),155.0,24.4,4.9,3.4,0.0,0.0,common,vegan
Babyfood Dinner Vegetables Noodles And Chicken Strained,63.0,2.0,2.5,7.9,1.1,0.0,snacks,vegan
Collards Cooked Ns As To Form Fat Added In Cooking Ns As To Type Of Fat,48.0,2.6,2.4,5.5,3.9,0.4,lunch,vegan
